origin_station,destination,time
Lembah Subang,Dato' Keramat,39
Ara Damansara,Dato' Keramat,41
Glenmarie,Dato' Keramat,44
Subang Jaya,Dato' Keramat,45
SS 15,Dato' Keramat,49
SS 18,Dato' Keramat,51
USJ 7 (KJL),Dato' Keramat,54
Taipan,Dato' Keramat,55
Wawasan,Dato' Keramat,58
USJ 21,Dato' Keramat,60
Alam Megah,Dato' Keramat,63
Subang Alam,Dato' Keramat,66
Putra Heights (KJL),Dato' Keramat,70
Sungai Buloh,Dato' Keramat,47
Kampung Selamat,Dato' Keramat,44
Kwasa Damansara,Dato' Keramat,39
Kwasa Sentral,Dato' Keramat,37
Kota Damansara,Dato' Keramat,33
Surian,Dato' Keramat,31
Mutiara Damansara,Dato' Keramat,29
Bandar Utama,Dato' Keramat,27
TTDI,Dato' Keramat,23
Phileo Damansara,Dato' Keramat,19
Pusat Bandar Damansara,Dato' Keramat,48
Semantan,Dato' Keramat,45
Muzium Negara,Dato' Keramat,40
Pasar Seni (SBK),Dato' Keramat,38
Merdeka,Dato' Keramat,34
Bukit Bintang,Dato' Keramat,32
Tun Razak Exchange (TRX),Dato' Keramat,30
Cochrane,Dato' Keramat,28
Maluri (SBK),Dato' Keramat,24
Taman Pertama,Dato' Keramat,20
Taman Midah,Dato' Keramat,49
Taman Mutiara,Dato' Keramat,46
Taman Connaught,Dato' Keramat,41
Taman Suntex,Dato' Keramat,39
Sri Raya,Dato' Keramat,35
Bandar Tun Hussein Onn,Dato' Keramat,33
Batu 11 Cheras,Dato' Keramat,31
Bukit Dukung,Dato' Keramat,29
Sungai Jernih,Dato' Keramat,25
Stadium Kajang,Dato' Keramat,21
Kajang,Dato' Keramat,50
Gombak,Damai,19
Taman Melati,Damai,16
Wangsa Maju,Damai,12
Sri Rampai,Damai,10
Setiawangsa,Damai,4
Jelatek,Damai,2
Dato' Keramat,Damai,1
Damai,Damai,0
Ampang Park,Damai,2
KLCC,Damai,3
Kampung Baru,Damai,5
Dang Wangi,Damai,7
Masjid Jamek (KJL),Damai,9
Pasar Seni (KJL),Damai,10
KL Sentral (KJL),Damai,13
Bangsar,Damai,15
Abdullah Hukum,Damai,18
Kerinchi,Damai,19
Universiti,Damai,21
Taman Jaya,Damai,25
Asia Jaya,Damai,27
Taman Paramount,Damai,30
Taman Bahagia,Damai,33
Kelana Jaya,Damai,35
Lembah Subang,Damai,38
Ara Damansara,Damai,40
Glenmarie,Damai,43
Subang Jaya,Damai,44
SS 15,Damai,48
SS 18,Damai,50
USJ 7 (KJL),Damai,53
Taipan,Damai,54
Wawasan,Damai,57
USJ 21,Damai,59
Alam Megah,Damai,62
Subang Alam,Damai,65
Putra Heights (KJL),Damai,69
Sungai Buloh,Damai,45
Kampung Selamat,Damai,42
Kwasa Damansara,Damai,37
Kwasa Sentral,Damai,35
Kota Damansara,Damai,31
Surian,Damai,29
Mutiara Damansara,Damai,27
Bandar Utama,Damai,25
TTDI,Damai,21
Phileo Damansara,Damai,17
Pusat Bandar Damansara,Damai,46
Semantan,Damai,43
Muzium Negara,Damai,38
Pasar Seni (SBK),Damai,36
Merdeka,Damai,32
Bukit Bintang,Damai,30
Tun Razak Exchange (TRX),Damai,28
Cochrane,Damai,26
Maluri (SBK),Damai,22
Taman Pertama,Damai,18
Taman Midah,Damai,47
Taman Mutiara,Damai,44
Taman Connaught,Damai,39
Taman Suntex,Damai,37
Sri Raya,Damai,33
Bandar Tun Hussein Onn,Damai,31
Batu 11 Cheras,Damai,29
Bukit Dukung,Damai,27
Sungai Jernih,Damai,23
Stadium Kajang,Damai,19
Kajang,Damai,48
Gombak,Ampang Park,21
Taman Melati,Ampang Park,18
Wangsa Maju,Ampang Park,14
Sri Rampai,Ampang Park,12
Setiawangsa,Ampang Park,6
Jelatek,Ampang Park,4
Dato' Keramat,Ampang Park,3
Damai,Ampang Park,2
Ampang Park,Ampang Park,0
KLCC,Ampang Park,1
Kampung Baru,Ampang Park,3
Dang Wangi,Ampang Park,5
Masjid Jamek (KJL),Ampang Park,7
Pasar Seni (KJL),Ampang Park,8
KL Sentral (KJL),Ampang Park,11
Bangsar,Ampang Park,13
Abdullah Hukum,Ampang Park,16
Kerinchi,Ampang Park,17
Universiti,Ampang Park,19
Taman Jaya,Ampang Park,23
Asia Jaya,Ampang Park,25
Taman Paramount,Ampang Park,28
Taman Bahagia,Ampang Park,31
Kelana Jaya,Ampang Park,33
Lembah Subang,Ampang Park,36
Ara Damansara,Ampang Park,38
Glenmarie,Ampang Park,41
Subang Jaya,Ampang Park,42
SS 15,Ampang Park,46
SS 18,Ampang Park,48
USJ 7 (KJL),Ampang Park,51
Taipan,Ampang Park,52
Wawasan,Ampang Park,55
USJ 21,Ampang Park,57
Alam Megah,Ampang Park,60
Subang Alam,Ampang Park,63
Putra Heights (KJL),Ampang Park,67
Sungai Buloh,Ampang Park,43
Kampung Selamat,Ampang Park,40
Kwasa Damansara,Ampang Park,35
Kwasa Sentral,Ampang Park,33
Kota Damansara,Ampang Park,29
Surian,Ampang Park,27
Mutiara Damansara,Ampang Park,25
Bandar Utama,Ampang Park,23
TTDI,Ampang Park,19
Phileo Damansara,Ampang Park,15
Pusat Bandar Damansara,Ampang Park,44
Semantan,Ampang Park,41
Muzium Negara,Ampang Park,36
Pasar Seni (SBK),Ampang Park,34
Merdeka,Ampang Park,30
Bukit Bintang,Ampang Park,28
Tun Razak Exchange (TRX),Ampang Park,26
Cochrane,Ampang Park,24
Maluri (SBK),Ampang Park,20
Taman Pertama,Ampang Park,16
Taman Midah,Ampang Park,45
Taman Mutiara,Ampang Park,42
Taman Connaught,Ampang Park,37
Taman Suntex,Ampang Park,35
Sri Raya,Ampang Park,31
Bandar Tun Hussein Onn,Ampang Park,29
Batu 11 Cheras,Ampang Park,27
Bukit Dukung,Ampang Park,25
Sungai Jernih,Ampang Park,21
Stadium Kajang,Ampang Park,17
Kajang,Ampang Park,46
Gombak,KLCC,22
Taman Melati,KLCC,19
Wangsa Maju,KLCC,15
Sri Rampai,KLCC,13
Setiawangsa,KLCC,7
Jelatek,KLCC,5
Dato' Keramat,KLCC,4
Damai,KLCC,3
Ampang Park,KLCC,1
KLCC,KLCC,0
Kampung Baru,KLCC,2
Dang Wangi,KLCC,4
Masjid Jamek (KJL),KLCC,6
Pasar Seni (KJL),KLCC,7
KL Sentral (KJL),KLCC,10
Bangsar,KLCC,12
Abdullah Hukum,KLCC,15
Kerinchi,KLCC,16
Universiti,KLCC,18
Taman Jaya,KLCC,22
Asia Jaya,KLCC,24
Taman Paramount,KLCC,27
Taman Bahagia,KLCC,30
Kelana Jaya,KLCC,32
Lembah Subang,KLCC,35
Ara Damansara,KLCC,37
Glenmarie,KLCC,40
Subang Jaya,KLCC,41
SS 15,KLCC,45
SS 18,KLCC,47
USJ 7 (KJL),KLCC,50
Taipan,KLCC,51
Wawasan,KLCC,54
USJ 21,KLCC,56
Alam Megah,KLCC,59
Subang Alam,KLCC,62
Putra Heights (KJL),KLCC,66
Sungai Buloh,KLCC,41
Kampung Selamat,KLCC,38
Kwasa Damansara,KLCC,33
Kwasa Sentral,KLCC,31
Kota Damansara,KLCC,27
Surian,KLCC,25
Mutiara Damansara,KLCC,23
Bandar Utama,KLCC,21
TTDI,KLCC,17
Phileo Damansara,KLCC,13
Pusat Bandar Damansara,KLCC,42
Semantan,KLCC,39
Muzium Negara,KLCC,34
Pasar Seni (SBK),KLCC,32
Merdeka,KLCC,28
Bukit Bintang,KLCC,26
Tun Razak Exchange (TRX),KLCC,24
Cochrane,KLCC,22
Maluri (SBK),KLCC,18
Taman Pertama,KLCC,14
Taman Midah,KLCC,43
Taman Mutiara,KLCC,40
Taman Connaught,KLCC,35
Taman Suntex,KLCC,33
Sri Raya,KLCC,29
Bandar Tun Hussein Onn,KLCC,27
Batu 11 Cheras,KLCC,25
Bukit Dukung,KLCC,23
Sungai Jernih,KLCC,19
Stadium Kajang,KLCC,15
Kajang,KLCC,44
Gombak,Kampung Baru,24
Taman Melati,Kampung Baru,21
Wangsa Maju,Kampung Baru,17
Sri Rampai,Kampung Baru,15
Setiawangsa,Kampung Baru,9
Jelatek,Kampung Baru,7
Dato' Keramat,Kampung Baru,6
Damai,Kampung Baru,5
Ampang Park,Kampung Baru,3
KLCC,Kampung Baru,2
Kampung Baru,Kampung Baru,0
Dang Wangi,Kampung Baru,2
Masjid Jamek (KJL),Kampung Baru,4
Pasar Seni (KJL),Kampung Baru,5
KL Sentral (KJL),Kampung Baru,8
Bangsar,Kampung Baru,10
Abdullah Hukum,Kampung Baru,13
Kerinchi,Kampung Baru,14
Universiti,Kampung Baru,16
Taman Jaya,Kampung Baru,20
Asia Jaya,Kampung Baru,22
Taman Paramount,Kampung Baru,25
Taman Bahagia,Kampung Baru,28
Kelana Jaya,Kampung Baru,30
Lembah Subang,Kampung Baru,33
Ara Damansara,Kampung Baru,35
Glenmarie,Kampung Baru,38
Subang Jaya,Kampung Baru,39
SS 15,Kampung Baru,43
SS 18,Kampung Baru,45
USJ 7 (KJL),Kampung Baru,48
Taipan,Kampung Baru,49
Wawasan,Kampung Baru,52
USJ 21,Kampung Baru,54
Alam Megah,Kampung Baru,57
Subang Alam,Kampung Baru,60
Putra Heights (KJL),Kampung Baru,64
Sungai Buloh,Kampung Baru,39
Kampung Selamat,Kampung Baru,36
Kwasa Damansara,Kampung Baru,31
Kwasa Sentral,Kampung Baru,29
Kota Damansara,Kampung Baru,25
Surian,Kampung Baru,23
Mutiara Damansara,Kampung Baru,21
Bandar Utama,Kampung Baru,19
TTDI,Kampung Baru,15
Phileo Damansara,Kampung Baru,11
Pusat Bandar Damansara,Kampung Baru,40
Semantan,Kampung Baru,37
Muzium Negara,Kampung Baru,32
Pasar Seni (SBK),Kampung Baru,30
Merdeka,Kampung Baru,26
Bukit Bintang,Kampung Baru,24
Tun Razak Exchange (TRX),Kampung Baru,22
Cochrane,Kampung Baru,20
Maluri (SBK),Kampung Baru,16
Taman Pertama,Kampung Baru,12
Taman Midah,Kampung Baru,41
Taman Mutiara,Kampung Baru,38
Taman Connaught,Kampung Baru,33
Taman Suntex,Kampung Baru,31
Sri Raya,Kampung Baru,27
Bandar Tun Hussein Onn,Kampung Baru,25
Batu 11 Cheras,Kampung Baru,23
Bukit Dukung,Kampung Baru,21
Sungai Jernih,Kampung Baru,17
Stadium Kajang,Kampung Baru,13
Kajang,Kampung Baru,42
Gombak,Dang Wangi,26
Taman Melati,Dang Wangi,23
Wangsa Maju,Dang Wangi,19
Sri Rampai,Dang Wangi,17
Setiawangsa,Dang Wangi,11
Jelatek,Dang Wangi,9
Dato' Keramat,Dang Wangi,8
Damai,Dang Wangi,7
Ampang Park,Dang Wangi,5
KLCC,Dang Wangi,4
Kampung Baru,Dang Wangi,2
Dang Wangi,Dang Wangi,0
Masjid Jamek (KJL),Dang Wangi,2
Pasar Seni (KJL),Dang Wangi,3
KL Sentral (KJL),Dang Wangi,6
Bangsar,Dang Wangi,8
Abdullah Hukum,Dang Wangi,11
Kerinchi,Dang Wangi,12
Universiti,Dang Wangi,14
Taman Jaya,Dang Wangi,18
Asia Jaya,Dang Wangi,20
Taman Paramount,Dang Wangi,23
Taman Bahagia,Dang Wangi,26
Kelana Jaya,Dang Wangi,28
Lembah Subang,Dang Wangi,31
Ara Damansara,Dang Wangi,33
Glenmarie,Dang Wangi,36
Subang Jaya,Dang Wangi,37
SS 15,Dang Wangi,41
SS 18,Dang Wangi,43
USJ 7 (KJL),Dang Wangi,46
Taipan,Dang Wangi,47
Wawasan,Dang Wangi,50
USJ 21,Dang Wangi,52
Alam Megah,Dang Wangi,55
Subang Alam,Dang Wangi,58
Putra Heights (KJL),Dang Wangi,62
Sungai Buloh,Dang Wangi,38
Kampung Selamat,Dang Wangi,35
Kwasa Damansara,Dang Wangi,30
Kwasa Sentral,Dang Wangi,28
Kota Damansara,Dang Wangi,24
Surian,Dang Wangi,22
Mutiara Damansara,Dang Wangi,20
Bandar Utama,Dang Wangi,18
TTDI,Dang Wangi,14
Phileo Damansara,Dang Wangi,10
Pusat Bandar Damansara,Dang Wangi,39
Semantan,Dang Wangi,36
Muzium Negara,Dang Wangi,31
Pasar Seni (SBK),Dang Wangi,29
Merdeka,Dang Wangi,25
Bukit Bintang,Dang Wangi,23
Tun Razak Exchange (TRX),Dang Wangi,21
Cochrane,Dang Wangi,19
Maluri (SBK),Dang Wangi,15
Taman Pertama,Dang Wangi,11
Taman Midah,Dang Wangi,40
Taman Mutiara,Dang Wangi,37
Taman Connaught,Dang Wangi,32
Taman Suntex,Dang Wangi,30
Sri Raya,Dang Wangi,26
Bandar Tun Hussein Onn,Dang Wangi,24
Batu 11 Cheras,Dang Wangi,22
Bukit Dukung,Dang Wangi,20
Sungai Jernih,Dang Wangi,16
