origin_station,destination,time
Taman Pertama,Taman Bahagia,29
Taman Midah,Taman Bahagia,58
Taman Mutiara,Taman Bahagia,55
Taman Connaught,Taman Bahagia,50
Taman Suntex,Taman Bahagia,48
Sri Raya,Taman Bahagia,44
Bandar Tun Hussein Onn,Taman Bahagia,42
Batu 11 Cheras,Taman Bahagia,40
Bukit Dukung,Taman Bahagia,38
Sungai Jernih,Taman Bahagia,34
Stadium Kajang,Taman Bahagia,30
Kajang,Taman Bahagia,59
Gombak,Kelana Jaya,54
Taman Melati,Kelana Jaya,51
Wangsa Maju,Kelana Jaya,47
Sri Rampai,Kelana Jaya,45
Setiawangsa,Kelana Jaya,39
Jelatek,Kelana Jaya,37
Dato' Keramat,Kelana Jaya,36
Damai,Kelana Jaya,35
Ampang Park,Kelana Jaya,33
KLCC,Kelana Jaya,32
Kampung Baru,Kelana Jaya,30
Dang Wangi,Kelana Jaya,28
Masjid Jamek (KJL),Kelana Jaya,26
Pasar Seni (KJL),Kelana Jaya,25
KL Sentral (KJL),Kelana Jaya,22
Bangsar,Kelana Jaya,20
Abdullah Hukum,Kelana Jaya,17
Kerinchi,Kelana Jaya,16
Universiti,Kelana Jaya,14
Taman Jaya,Kelana Jaya,10
Asia Jaya,Kelana Jaya,8
Taman Paramount,Kelana Jaya,5
Taman Bahagia,Kelana Jaya,2
Kelana Jaya,Kelana Jaya,0
Lembah Subang,Kelana Jaya,3
Ara Damansara,Kelana Jaya,5
Glenmarie,Kelana Jaya,8
Subang Jaya,Kelana Jaya,9
SS 15,Kelana Jaya,13
SS 18,Kelana Jaya,15
USJ 7 (KJL),Kelana Jaya,18
Taipan,Kelana Jaya,19
Wawasan,Kelana Jaya,22
USJ 21,Kelana Jaya,24
Alam Megah,Kelana Jaya,27
Subang Alam,Kelana Jaya,30
Putra Heights (KJL),Kelana Jaya,34
Sungai Buloh,Kelana Jaya,58
Kampung Selamat,Kelana Jaya,55
Kwasa Damansara,Kelana Jaya,50
Kwasa Sentral,Kelana Jaya,48
Kota Damansara,Kelana Jaya,44
Surian,Kelana Jaya,42
Mutiara Damansara,Kelana Jaya,40
Bandar Utama,Kelana Jaya,38
TTDI,Kelana Jaya,34
Phileo Damansara,Kelana Jaya,30
Pusat Bandar Damansara,Kelana Jaya,59
Semantan,Kelana Jaya,56
Muzium Negara,Kelana Jaya,51
Pasar Seni (SBK),Kelana Jaya,49
Merdeka,Kelana Jaya,45
Bukit Bintang,Kelana Jaya,43
Tun Razak Exchange (TRX),Kelana Jaya,41
Cochrane,Kelana Jaya,39
Maluri (SBK),Kelana Jaya,35
Taman Pertama,Kelana Jaya,31
Taman Midah,Kelana Jaya,60
Taman Mutiara,Kelana Jaya,57
Taman Connaught,Kelana Jaya,52
Taman Suntex,Kelana Jaya,50
Sri Raya,Kelana Jaya,46
Bandar Tun Hussein Onn,Kelana Jaya,44
Batu 11 Cheras,Kelana Jaya,42
Bukit Dukung,Kelana Jaya,40
Sungai Jernih,Kelana Jaya,36
Stadium Kajang,Kelana Jaya,32
Kajang,Kelana Jaya,61
Gombak,Lembah Subang,57
Taman Melati,Lembah Subang,54
Wangsa Maju,Lembah Subang,50
Sri Rampai,Lembah Subang,48
Setiawangsa,Lembah Subang,42
Jelatek,Lembah Subang,40
Dato' Keramat,Lembah Subang,39
Damai,Lembah Subang,38
Ampang Park,Lembah Subang,36
KLCC,Lembah Subang,35
Kampung Baru,Lembah Subang,33
Dang Wangi,Lembah Subang,31
Masjid Jamek (KJL),Lembah Subang,29
Pasar Seni (KJL),Lembah Subang,28
KL Sentral (KJL),Lembah Subang,25
Bangsar,Lembah Subang,23
Abdullah Hukum,Lembah Subang,20
Kerinchi,Lembah Subang,19
Universiti,Lembah Subang,17
Taman Jaya,Lembah Subang,13
Asia Jaya,Lembah Subang,11
Taman Paramount,Lembah Subang,8
Taman Bahagia,Lembah Subang,5
Kelana Jaya,Lembah Subang,3
Lembah Subang,Lembah Subang,0
Ara Damansara,Lembah Subang,2
Glenmarie,Lembah Subang,5
Subang Jaya,Lembah Subang,6
SS 15,Lembah Subang,10
SS 18,Lembah Subang,12
USJ 7 (KJL),Lembah Subang,15
Taipan,Lembah Subang,16
Wawasan,Lembah Subang,19
USJ 21,Lembah Subang,21
Alam Megah,Lembah Subang,24
Subang Alam,Lembah Subang,27
Putra Heights (KJL),Lembah Subang,31
Sungai Buloh,Lembah Subang,61
Kampung Selamat,Lembah Subang,58
Kwasa Damansara,Lembah Subang,53
Kwasa Sentral,Lembah Subang,51
Kota Damansara,Lembah Subang,47
Surian,Lembah Subang,45
Mutiara Damansara,Lembah Subang,43
Bandar Utama,Lembah Subang,41
TTDI,Lembah Subang,37
Phileo Damansara,Lembah Subang,33
Pusat Bandar Damansara,Lembah Subang,62
Semantan,Lembah Subang,59
Muzium Negara,Lembah Subang,54
Pasar Seni (SBK),Lembah Subang,52
Merdeka,Lembah Subang,48
Bukit Bintang,Lembah Subang,46
Tun Razak Exchange (TRX),Lembah Subang,44
Cochrane,Lembah Subang,42
Maluri (SBK),Lembah Subang,38
Taman Pertama,Lembah Subang,34
Taman Midah,Lembah Subang,63
Taman Mutiara,Lembah Subang,60
Taman Connaught,Lembah Subang,55
Taman Suntex,Lembah Subang,53
Sri Raya,Lembah Subang,49
Bandar Tun Hussein Onn,Lembah Subang,47
Batu 11 Cheras,Lembah Subang,45
Bukit Dukung,Lembah Subang,43
Sungai Jernih,Lembah Subang,39
Stadium Kajang,Lembah Subang,35
Kajang,Lembah Subang,64
Gombak,Ara Damansara,59
Taman Melati,Ara Damansara,56
Wangsa Maju,Ara Damansara,52
Sri Rampai,Ara Damansara,50
Setiawangsa,Ara Damansara,44
Jelatek,Ara Damansara,42
Dato' Keramat,Ara Damansara,41
Damai,Ara Damansara,40
Ampang Park,Ara Damansara,38
KLCC,Ara Damansara,37
Kampung Baru,Ara Damansara,35
Dang Wangi,Ara Damansara,33
Masjid Jamek (KJL),Ara Damansara,31
Pasar Seni (KJL),Ara Damansara,30
KL Sentral (KJL),Ara Damansara,27
Bangsar,Ara Damansara,25
Abdullah Hukum,Ara Damansara,22
Kerinchi,Ara Damansara,21
Universiti,Ara Damansara,19
Taman Jaya,Ara Damansara,15
Asia Jaya,Ara Damansara,13
Taman Paramount,Ara Damansara,10
Taman Bahagia,Ara Damansara,7
Kelana Jaya,Ara Damansara,5
Lembah Subang,Ara Damansara,2
Ara Damansara,Ara Damansara,0
Glenmarie,Ara Damansara,3
Subang Jaya,Ara Damansara,4
SS 15,Ara Damansara,8
SS 18,Ara Damansara,10
USJ 7 (KJL),Ara Damansara,13
Taipan,Ara Damansara,14
Wawasan,Ara Damansara,17
USJ 21,Ara Damansara,19
Alam Megah,Ara Damansara,22
Subang Alam,Ara Damansara,25
Putra Heights (KJL),Ara Damansara,29
Sungai Buloh,Ara Damansara,63
Kampung Selamat,Ara Damansara,60
Kwasa Damansara,Ara Damansara,55
Kwasa Sentral,Ara Damansara,53
Kota Damansara,Ara Damansara,49
Surian,Ara Damansara,47
Mutiara Damansara,Ara Damansara,45
Bandar Utama,Ara Damansara,43
TTDI,Ara Damansara,39
Phileo Damansara,Ara Damansara,35
Pusat Bandar Damansara,Ara Damansara,64
Semantan,Ara Damansara,61
Muzium Negara,Ara Damansara,56
Pasar Seni (SBK),Ara Damansara,54
Merdeka,Ara Damansara,50
Bukit Bintang,Ara Damansara,48
Tun Razak Exchange (TRX),Ara Damansara,46
Cochrane,Ara Damansara,44
Maluri (SBK),Ara Damansara,40
Taman Pertama,Ara Damansara,36
Taman Midah,Ara Damansara,65
Taman Mutiara,Ara Damansara,62
Taman Connaught,Ara Damansara,57
Taman Suntex,Ara Damansara,55
Sri Raya,Ara Damansara,51
Bandar Tun Hussein Onn,Ara Damansara,49
Batu 11 Cheras,Ara Damansara,47
Bukit Dukung,Ara Damansara,45
Sungai Jernih,Ara Damansara,41
Stadium Kajang,Ara Damansara,37
Kajang,Ara Damansara,66
Gombak,Glenmarie,62
Taman Melati,Glenmarie,59
Wangsa Maju,Glenmarie,55
Sri Rampai,Glenmarie,53
Setiawangsa,Glenmarie,47
Jelatek,Glenmarie,45
Dato' Keramat,Glenmarie,44
Damai,Glenmarie,43
Ampang Park,Glenmarie,41
KLCC,Glenmarie,40
Kampung Baru,Glenmarie,38
Dang Wangi,Glenmarie,36
Masjid Jamek (KJL),Glenmarie,34
Pasar Seni (KJL),Glenmarie,33
KL Sentral (KJL),Glenmarie,30
Bangsar,Glenmarie,28
Abdullah Hukum,Glenmarie,25
Kerinchi,Glenmarie,24
Universiti,Glenmarie,22
Taman Jaya,Glenmarie,18
Asia Jaya,Glenmarie,16
Taman Paramount,Glenmarie,13
Taman Bahagia,Glenmarie,10
Kelana Jaya,Glenmarie,8
Lembah Subang,Glenmarie,5
Ara Damansara,Glenmarie,3
Glenmarie,Glenmarie,0
Subang Jaya,Glenmarie,1
SS 15,Glenmarie,5
SS 18,Glenmarie,7
USJ 7 (KJL),Glenmarie,10
Taipan,Glenmarie,11
Wawasan,Glenmarie,14
USJ 21,Glenmarie,16
Alam Megah,Glenmarie,19
Subang Alam,Glenmarie,22
Putra Heights (KJL),Glenmarie,26
Sungai Buloh,Glenmarie,66
Kampung Selamat,Glenmarie,63
Kwasa Damansara,Glenmarie,58
Kwasa Sentral,Glenmarie,56
Kota Damansara,Glenmarie,52
Surian,Glenmarie,50
Mutiara Damansara,Glenmarie,48
Bandar Utama,Glenmarie,46
TTDI,Glenmarie,42
Phileo Damansara,Glenmarie,38
Pusat Bandar Damansara,Glenmarie,67
Semantan,Glenmarie,64
Muzium Negara,Glenmarie,59
Pasar Seni (SBK),Glenmarie,57
Merdeka,Glenmarie,53
Bukit Bintang,Glenmarie,51
Tun Razak Exchange (TRX),Glenmarie,49
Cochrane,Glenmarie,47
Maluri (SBK),Glenmarie,43
Taman Pertama,Glenmarie,39
Taman Midah,Glenmarie,68
Taman Mutiara,Glenmarie,65
Taman Connaught,Glenmarie,60
Taman Suntex,Glenmarie,58
Sri Raya,Glenmarie,54
Bandar Tun Hussein Onn,Glenmarie,52
Batu 11 Cheras,Glenmarie,50
Bukit Dukung,Glenmarie,48
Sungai Jernih,Glenmarie,44
Stadium Kajang,Glenmarie,40
Kajang,Glenmarie,69
Gombak,Subang Jaya,63
Taman Melati,Subang Jaya,60
Wangsa Maju,Subang Jaya,56
Sri Rampai,Subang Jaya,54
Setiawangsa,Subang Jaya,48
Jelatek,Subang Jaya,46
Dato' Keramat,Subang Jaya,45
Damai,Subang Jaya,44
Ampang Park,Subang Jaya,42
KLCC,Subang Jaya,41
Kampung Baru,Subang Jaya,39
Dang Wangi,Subang Jaya,37
Masjid Jamek (KJL),Subang Jaya,35
Pasar Seni (KJL),Subang Jaya,34
KL Sentral (KJL),Subang Jaya,31
Bangsar,Subang Jaya,29
Abdullah Hukum,Subang Jaya,26
Kerinchi,Subang Jaya,25
Universiti,Subang Jaya,23
Taman Jaya,Subang Jaya,19
Asia Jaya,Subang Jaya,17
Taman Paramount,Subang Jaya,14
Taman Bahagia,Subang Jaya,11
Kelana Jaya,Subang Jaya,9
Lembah Subang,Subang Jaya,6
Ara Damansara,Subang Jaya,4
Glenmarie,Subang Jaya,1
Subang Jaya,Subang Jaya,0
SS 15,Subang Jaya,4
SS 18,Subang Jaya,6
USJ 7 (KJL),Subang Jaya,9
Taipan,Subang Jaya,10
Wawasan,Subang Jaya,13
USJ 21,Subang Jaya,15
Alam Megah,Subang Jaya,18
Subang Alam,Subang Jaya,21
Putra Heights (KJL),Subang Jaya,25
Sungai Buloh,Subang Jaya,67
Kampung Selamat,Subang Jaya,64
Kwasa Damansara,Subang Jaya,59
Kwasa Sentral,Subang Jaya,57
Kota Damansara,Subang Jaya,53
Surian,Subang Jaya,51
Mutiara Damansara,Subang Jaya,49
Bandar Utama,Subang Jaya,47
TTDI,Subang Jaya,43
Phileo Damansara,Subang Jaya,39
Pusat Bandar Damansara,Subang Jaya,68
Semantan,Subang Jaya,65
Muzium Negara,Subang Jaya,60
Pasar Seni (SBK),Subang Jaya,58
Merdeka,Subang Jaya,54
Bukit Bintang,Subang Jaya,52
Tun Razak Exchange (TRX),Subang Jaya,50
Cochrane,Subang Jaya,48
Maluri (SBK),Subang Jaya,44
Taman Pertama,Subang Jaya,40
Taman Midah,Subang Jaya,69
Taman Mutiara,Subang Jaya,66
Taman Connaught,Subang Jaya,61
Taman Suntex,Subang Jaya,59
Sri Raya,Subang Jaya,55
Bandar Tun Hussein Onn,Subang Jaya,53
Batu 11 Cheras,Subang Jaya,51
Bukit Dukung,Subang Jaya,49
Sungai Jernih,Subang Jaya,45
Stadium Kajang,Subang Jaya,41
Kajang,Subang Jaya,70
Gombak,SS 15,67
Taman Melati,SS 15,64
Wangsa Maju,SS 15,60
Sri Rampai,SS 15,58
Setiawangsa,SS 15,52
Jelatek,SS 15,50
Dato' Keramat,SS 15,49
Damai,SS 15,48
Ampang Park,SS 15,46
KLCC,SS 15,45
Kampung Baru,SS 15,43
Dang Wangi,SS 15,41
Masjid Jamek (KJL),SS 15,39
Pasar Seni (KJL),SS 15,38
KL Sentral (KJL),SS 15,35
Bangsar,SS 15,33
Abdullah Hukum,SS 15,30
Kerinchi,SS 15,29
Universiti,SS 15,27
Taman Jaya,SS 15,23
Asia Jaya,SS 15,21
Taman Paramount,SS 15,18
Taman Bahagia,SS 15,15
Kelana Jaya,SS 15,13
Lembah Subang,SS 15,10
Ara Damansara,SS 15,8
Glenmarie,SS 15,5
Subang Jaya,SS 15,4
SS 15,SS 15,0
SS 18,SS 15,2
USJ 7 (KJL),SS 15,5
Taipan,SS 15,6
Wawasan,SS 15,9
USJ 21,SS 15,11
Alam Megah,SS 15,14
Subang Alam,SS 15,17
Putra Heights (KJL),SS 15,21
Sungai Buloh,SS 15,71
Kampung Selamat,SS 15,68
Kwasa Damansara,SS 15,63
Kwasa Sentral,SS 15,61
Kota Damansara,SS 15,57
Surian,SS 15,55
Mutiara Damansara,SS 15,53
Bandar Utama,SS 15,51
TTDI,SS 15,47
Phileo Damansara,SS 15,43
Pusat Bandar Damansara,SS 15,72
Semantan,SS 15,69
Muzium Negara,SS 15,64
Pasar Seni (SBK),SS 15,62
Merdeka,SS 15,58
Bukit Bintang,SS 15,56
Tun Razak Exchange (TRX),SS 15,54
Cochrane,SS 15,52
Maluri (SBK),SS 15,48
Taman Pertama,SS 15,44
Taman Midah,SS 15,73
Taman Mutiara,SS 15,70
Taman Connaught,SS 15,65
Taman Suntex,SS 15,63
Sri Raya,SS 15,59
Bandar Tun Hussein Onn,SS 15,57
Batu 11 Cheras,SS 15,55
Bukit Dukung,SS 15,53
Sungai Jernih,SS 15,49
Stadium Kajang,SS 15,45
Kajang,SS 15,74
Gombak,SS 18,69
Taman Melati,SS 18,66
Wangsa Maju,SS 18,62
Sri Rampai,SS 18,60
Setiawangsa,SS 18,54
Jelatek,SS 18,52
Dato' Keramat,SS 18,51
Damai,SS 18,50
Ampang Park,SS 18,48
KLCC,SS 18,47
Kampung Baru,SS 18,45
Dang Wangi,SS 18,43
Masjid Jamek (KJL),SS 18,41
Pasar Seni (KJL),SS 18,40
KL Sentral (KJL),SS 18,37
Bangsar,SS 18,35
Abdullah Hukum,SS 18,32
Kerinchi,SS 18,31
Universiti,SS 18,29
Taman Jaya,SS 18,25
Asia Jaya,SS 18,23
Taman Paramount,SS 18,20
Taman Bahagia,SS 18,17
Kelana Jaya,SS 18,15
Lembah Subang,SS 18,12
Ara Damansara,SS 18,10
Glenmarie,SS 18,7
Subang Jaya,SS 18,6
SS 15,SS 18,2
SS 18,SS 18,0
USJ 7 (KJL),SS 18,3
Taipan,SS 18,4
Wawasan,SS 18,7
USJ 21,SS 18,9
Alam Megah,SS 18,12
Subang Alam,SS 18,15
Putra Heights (KJL),SS 18,19
Sungai Buloh,SS 18,73
Kampung Selamat,SS 18,70
Kwasa Damansara,SS 18,65
Kwasa Sentral,SS 18,63
Kota Damansara,SS 18,59
Surian,SS 18,57
Mutiara Damansara,SS 18,55
Bandar Utama,SS 18,53
TTDI,SS 18,49
Phileo Damansara,SS 18,45
Pusat Bandar Damansara,SS 18,74
Semantan,SS 18,71
Muzium Negara,SS 18,66
Pasar Seni (SBK),SS 18,64
Merdeka,SS 18,60
Bukit Bintang,SS 18,58
Tun Razak Exchange (TRX),SS 18,56
Cochrane,SS 18,54
Maluri (SBK),SS 18,50
Taman Pertama,SS 18,46
Taman Midah,SS 18,75
Taman Mutiara,SS 18,72
Taman Connaught,SS 18,67
Taman Suntex,SS 18,65
Sri Raya,SS 18,61
Bandar Tun Hussein Onn,SS 18,59
Batu 11 Cheras,SS 18,57
Bukit Dukung,SS 18,55
Sungai Jernih,SS 18,51
Stadium Kajang,SS 18,47
Kajang,SS 18,76
Gombak,USJ 7 (KJL),72
Taman Melati,USJ 7 (KJL),69
Wangsa Maju,USJ 7 (KJL),65
Sri Rampai,USJ 7 (KJL),63
Setiawangsa,USJ 7 (KJL),57
Jelatek,USJ 7 (KJL),55
Dato' Keramat,USJ 7 (KJL),54
Damai,USJ 7 (KJL),53
Ampang Park,USJ 7 (KJL),51
KLCC,USJ 7 (KJL),50
Kampung Baru,USJ 7 (KJL),48
Dang Wangi,USJ 7 (KJL),46
Masjid Jamek (KJL),USJ 7 (KJL),44
Pasar Seni (KJL),USJ 7 (KJL),43
KL Sentral (KJL),USJ 7 (KJL),40
Bangsar,USJ 7 (KJL),38
Abdullah Hukum,USJ 7 (KJL),35
Kerinchi,USJ 7 (KJL),34
Universiti,USJ 7 (KJL),32
Taman Jaya,USJ 7 (KJL),28
Asia Jaya,USJ 7 (KJL),26
Taman Paramount,USJ 7 (KJL),23
Taman Bahagia,USJ 7 (KJL),20
Kelana Jaya,USJ 7 (KJL),18
Lembah Subang,USJ 7 (KJL),15
Ara Damansara,USJ 7 (KJL),13
Glenmarie,USJ 7 (KJL),10
Subang Jaya,USJ 7 (KJL),9
SS 15,USJ 7 (KJL),5
SS 18,USJ 7 (KJL),3
USJ 7 (KJL),USJ 7 (KJL),0
Taipan,USJ 7 (KJL),1
Wawasan,USJ 7 (KJL),4
USJ 21,USJ 7 (KJL),6
Alam Megah,USJ 7 (KJL),9
Subang Alam,USJ 7 (KJL),12
Putra Heights (KJL),USJ 7 (KJL),16
Sungai Buloh,USJ 7 (KJL),76
Kampung Selamat,USJ 7 (KJL),73
Kwasa Damansara,USJ 7 (KJL),68
Kwasa Sentral,USJ 7 (KJL),66
Kota Damansara,USJ 7 (KJL),62
Surian,USJ 7 (KJL),60
Mutiara Damansara,USJ 7 (KJL),58
Bandar Utama,USJ 7 (KJL),56
TTDI,USJ 7 (KJL),52
Phileo Damansara,USJ 7 (KJL),48
Pusat Bandar Damansara,USJ 7 (KJL),77
Semantan,USJ 7 (KJL),74
Muzium Negara,USJ 7 (KJL),69
Pasar Seni (SBK),USJ 7 (KJL),67
Merdeka,USJ 7 (KJL),63
Bukit Bintang,USJ 7 (KJL),61
Tun Razak Exchange (TRX),USJ 7 (KJL),59
Cochrane,USJ 7 (KJL),57
Maluri (SBK),USJ 7 (KJL),53
Taman Pertama,USJ 7 (KJL),49
Taman Midah,USJ 7 (KJL),78
Taman Mutiara,USJ 7 (KJL),75
Taman Connaught,USJ 7 (KJL),70
Taman Suntex,USJ 7 (KJL),68
Sri Raya,USJ 7 (KJL),64
Bandar Tun Hussein Onn,USJ 7 (KJL),62
Batu 11 Cheras,USJ 7 (KJL),60
Bukit Dukung,USJ 7 (KJL),58
Sungai Jernih,USJ 7 (KJL),54
Stadium Kajang,USJ 7 (KJL),50
Kajang,USJ 7 (KJL),79
Gombak,Taipan,73
Taman Melati,Taipan,70
Wangsa Maju,Taipan,66
Sri Rampai,Taipan,64
Setiawangsa,Taipan,58
Jelatek,Taipan,56
Dato' Keramat,Taipan,55
Damai,Taipan,54
Ampang Park,Taipan,52
KLCC,Taipan,51
Kampung Baru,Taipan,49
Dang Wangi,Taipan,47
Masjid Jamek (KJL),Taipan,45
Pasar Seni (KJL),Taipan,44
KL Sentral (KJL),Taipan,41
Bangsar,Taipan,39
Abdullah Hukum,Taipan,36
Kerinchi,Taipan,35
Universiti,Taipan,33
Taman Jaya,Taipan,29
Asia Jaya,Taipan,27
Taman Paramount,Taipan,24
Taman Bahagia,Taipan,21
Kelana Jaya,Taipan,19
Lembah Subang,Taipan,16
Ara Damansara,Taipan,14
Glenmarie,Taipan,11
Subang Jaya,Taipan,10
SS 15,Taipan,6
SS 18,Taipan,4
USJ 7 (KJL),Taipan,1
Taipan,Taipan,0
Wawasan,Taipan,3
USJ 21,Taipan,5
Alam Megah,Taipan,8
Subang Alam,Taipan,11
Putra Heights (KJL),Taipan,15
Sungai Buloh,Taipan,77
Kampung Selamat,Taipan,74
Kwasa Damansara,Taipan,69
Kwasa Sentral,Taipan,67
Kota Damansara,Taipan,63
Surian,Taipan,61
Mutiara Damansara,Taipan,59
Bandar Utama,Taipan,57
TTDI,Taipan,53
Phileo Damansara,Taipan,49
Pusat Bandar Damansara,Taipan,78
Semantan,Taipan,75
Muzium Negara,Taipan,70
Pasar Seni (SBK),Taipan,68
Merdeka,Taipan,64
Bukit Bintang,Taipan,62
Tun Razak Exchange (TRX),Taipan,60
Cochrane,Taipan,58
Maluri (SBK),Taipan,54
Taman Pertama,Taipan,50
Taman Midah,Taipan,79
Taman Mutiara,Taipan,76
Taman Connaught,Taipan,71
Taman Suntex,Taipan,69
Sri Raya,Taipan,65
Bandar Tun Hussein Onn,Taipan,63
Batu 11 Cheras,Taipan,61
Bukit Dukung,Taipan,59
Sungai Jernih,Taipan,55
Stadium Kajang,Taipan,51
Kajang,Taipan,80
Gombak,Wawasan,76
Taman Melati,Wawasan,73
Wangsa Maju,Wawasan,69
Sri Rampai,Wawasan,67
Setiawangsa,Wawasan,61
Jelatek,Wawasan,59
Dato' Keramat,Wawasan,58
Damai,Wawasan,57
Ampang Park,Wawasan,55
KLCC,Wawasan,54
Kampung Baru,Wawasan,52
Dang Wangi,Wawasan,50
Masjid Jamek (KJL),Wawasan,48
Pasar Seni (KJL),Wawasan,47
KL Sentral (KJL),Wawasan,44
Bangsar,Wawasan,42
Abdullah Hukum,Wawasan,39
Kerinchi,Wawasan,38
Universiti,Wawasan,36
Taman Jaya,Wawasan,32
Asia Jaya,Wawasan,30
Taman Paramount,Wawasan,27
Taman Bahagia,Wawasan,24
Kelana Jaya,Wawasan,22
Lembah Subang,Wawasan,19
Ara Damansara,Wawasan,17
Glenmarie,Wawasan,14
Subang Jaya,Wawasan,13
SS 15,Wawasan,9
SS 18,Wawasan,7
USJ 7 (KJL),Wawasan,4
Taipan,Wawasan,3
Wawasan,Wawasan,0
USJ 21,Wawasan,2
Alam Megah,Wawasan,5
Subang Alam,Wawasan,8
Putra Heights (KJL),Wawasan,12
Sungai Buloh,Wawasan,80
Kampung Selamat,Wawasan,77
Kwasa Damansara,Wawasan,72
Kwasa Sentral,Wawasan,70
Kota Damansara,Wawasan,66
Surian,Wawasan,64
Mutiara Damansara,Wawasan,62
Bandar Utama,Wawasan,60
TTDI,Wawasan,56
Phileo Damansara,Wawasan,52
Pusat Bandar Damansara,Wawasan,81
Semantan,Wawasan,78
Muzium Negara,Wawasan,73
Pasar Seni (SBK),Wawasan,71
Merdeka,Wawasan,67
Bukit Bintang,Wawasan,65
Tun Razak Exchange (TRX),Wawasan,63
Cochrane,Wawasan,61
Maluri (SBK),Wawasan,57
Taman Pertama,Wawasan,53
Taman Midah,Wawasan,82
Taman Mutiara,Wawasan,79
Taman Connaught,Wawasan,74
Taman Suntex,Wawasan,72
Sri Raya,Wawasan,68
Bandar Tun Hussein Onn,Wawasan,66
Batu 11 Cheras,Wawasan,64
Bukit Dukung,Wawasan,62
Sungai Jernih,Wawasan,58
Stadium Kajang,Wawasan,54
Kajang,Wawasan,83
Gombak,USJ 21,78
Taman Melati,USJ 21,75
Wangsa Maju,USJ 21,71
Sri Rampai,USJ 21,69
Setiawangsa,USJ 21,63
Jelatek,USJ 21,61
Dato' Keramat,USJ 21,60
Damai,USJ 21,59
Ampang Park,USJ 21,57
KLCC,USJ 21,56
Kampung Baru,USJ 21,54
Dang Wangi,USJ 21,52
Masjid Jamek (KJL),USJ 21,50
Pasar Seni (KJL),USJ 21,49
KL Sentral (KJL),USJ 21,46
Bangsar,USJ 21,44
Abdullah Hukum,USJ 21,41
Kerinchi,USJ 21,40
Universiti,USJ 21,38
Taman Jaya,USJ 21,34
Asia Jaya,USJ 21,32
Taman Paramount,USJ 21,29
Taman Bahagia,USJ 21,26
Kelana Jaya,USJ 21,24
Lembah Subang,USJ 21,21
Ara Damansara,USJ 21,19
Glenmarie,USJ 21,16
Subang Jaya,USJ 21,15
SS 15,USJ 21,11
SS 18,USJ 21,9
USJ 7 (KJL),USJ 21,6
Taipan,USJ 21,5
Wawasan,USJ 21,2
USJ 21,USJ 21,0
Alam Megah,USJ 21,3
Subang Alam,USJ 21,6
Putra Heights (KJL),USJ 21,10
Sungai Buloh,USJ 21,82
Kampung Selamat,USJ 21,79
Kwasa Damansara,USJ 21,74
Kwasa Sentral,USJ 21,72
Kota Damansara,USJ 21,68
Surian,USJ 21,66
Mutiara Damansara,USJ 21,64
Bandar Utama,USJ 21,62
TTDI,USJ 21,58
Phileo Damansara,USJ 21,54
Pusat Bandar Damansara,USJ 21,83
Semantan,USJ 21,80
Muzium Negara,USJ 21,75
Pasar Seni (SBK),USJ 21,73
Merdeka,USJ 21,69
Bukit Bintang,USJ 21,67
Tun Razak Exchange (TRX),USJ 21,65
Cochrane,USJ 21,63
Maluri (SBK),USJ 21,59
Taman Pertama,USJ 21,55
Taman Midah,USJ 21,84
Taman Mutiara,USJ 21,81
Taman Connaught,USJ 21,76
Taman Suntex,USJ 21,74
Sri Raya,USJ 21,70
Bandar Tun Hussein Onn,USJ 21,68
Batu 11 Cheras,USJ 21,66
Bukit Dukung,USJ 21,64
Sungai Jernih,USJ 21,60
Stadium Kajang,USJ 21,56
Kajang,USJ 21,85
Gombak,Alam Megah,81
Taman Melati,Alam Megah,78
Wangsa Maju,Alam Megah,74
Sri Rampai,Alam Megah,72
Setiawangsa,Alam Megah,66
Jelatek,Alam Megah,64
Dato' Keramat,Alam Megah,63
Damai,Alam Megah,62
Ampang Park,Alam Megah,60
KLCC,Alam Megah,59
Kampung Baru,Alam Megah,57
Dang Wangi,Alam Megah,55
Masjid Jamek (KJL),Alam Megah,53
Pasar Seni (KJL),Alam Megah,52
KL Sentral (KJL),Alam Megah,49
Bangsar,Alam Megah,47
Abdullah Hukum,Alam Megah,44
Kerinchi,Alam Megah,43
Universiti,Alam Megah,41
Taman Jaya,Alam Megah,37
Asia Jaya,Alam Megah,35
Taman Paramount,Alam Megah,32
Taman Bahagia,Alam Megah,29
Kelana Jaya,Alam Megah,27
Lembah Subang,Alam Megah,24
Ara Damansara,Alam Megah,22
Glenmarie,Alam Megah,19
Subang Jaya,Alam Megah,18
SS 15,Alam Megah,14
SS 18,Alam Megah,12
USJ 7 (KJL),Alam Megah,9
Taipan,Alam Megah,8
Wawasan,Alam Megah,5
USJ 21,Alam Megah,3
Alam Megah,Alam Megah,0
Subang Alam,Alam Megah,3
Putra Heights (KJL),Alam Megah,7
Sungai Buloh,Alam Megah,85
Kampung Selamat,Alam Megah,82
Kwasa Damansara,Alam Megah,77
Kwasa Sentral,Alam Megah,75
Kota Damansara,Alam Megah,71
Surian,Alam Megah,69
Mutiara Damansara,Alam Megah,67
Bandar Utama,Alam Megah,65
TTDI,Alam Megah,61
Phileo Damansara,Alam Megah,57
Pusat Bandar Damansara,Alam Megah,86
Semantan,Alam Megah,83
Muzium Negara,Alam Megah,78
